rank,experiment_key,display_name,model_family,feature_mode,split_protocol,status,threshold_method,calibration_split,train_label_policy,dependency_status,validation_f1,test_f1,test_precision,test_recall,test_false_alarm_rate,test_pr_auc,test_roc_auc,output_dir,notes
1,02_pca_spectral,PCA spectral variant,pca,spectral,manifest_train_validation_test_no_point_adjustment,completed,,,,,0.3639311043566363,0.5583306581059391,0.5487820270099709,0.5682174594877156,0.3396029258098224,0.6380876004478879,0.684281522419809,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/02_pca_spectral,
2,10_isolation_forest_conformal,Isolation Forest conformal threshold wrapper,isolation_forest_conformal_threshold,spectral,manifest_train_validation_test_no_point_adjustment,completed,conformal,validation_normal_rows,,,0.2816666666666667,0.5186861313868613,0.5874669312169312,0.4643230527966545,0.23700959437636554,0.6152586469350716,0.6657943112552885,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/10_isolation_forest_conformal,Conformal score-threshold wrapper only; source model training is unchanged.
3,03_pca_feature_bagging_ensemble,PCA feature-bagging ensemble,pca_feature_bagging_ensemble,raw_feature_subsets,manifest_train_validation_test_no_point_adjustment,completed,,,,,0.4873411582112717,0.5185577007846248,0.7968030344080195,0.38434396236278096,0.07124536905101168,0.6942723338947588,0.7313385859009598,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/03_pca_feature_bagging_ensemble,
4,08_isolation_forest_spectral,Isolation Forest spectral baseline,isolation_forest,spectral,manifest_train_validation_test_no_point_adjustment,completed,validation_normal_quantile,validation_normal_windows,fit Isolation Forest on manifest train windows with anomaly label 0 only,,0.20493226814866275,0.49334060285068926,0.6105648737227685,0.4138787245164663,0.1918875273107248,0.6152586469350716,0.6657943112552885,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/08_isolation_forest_spectral,Normal-only train; threshold calibrated on validation-normal windows; held-out test metrics only.
5,01_pca_raw,PCA T²/Q baseline,pca,raw,manifest_train_validation_test_no_point_adjustment,completed,,,,,0.4766930518909411,0.4897037572254335,0.7926900584795321,0.3542864610559331,0.06735062220955639,0.6940126427054236,0.7279747467878258,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/01_pca_raw,
6,12_distance_profile_nearest_normal,Nearest-normal distance-profile baseline,distance_profile_nearest_normal,raw_window_nearest_normal_distance,manifest_train_validation_test_no_point_adjustment,completed,validation_normal_quantile,validation_normal_windows,fit nearest-normal reference windows from manifest train windows with anomaly label 0 only,implemented_with_existing_numpy_sklearn_only_no_stumpy_dependency,0.488152120916626,0.4667339634761862,0.7836671802773497,0.33233141662310506,0.06668566543174693,0.7001976846564368,0.7298129120692362,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/12_distance_profile_nearest_normal,Dependency-light nearest train-normal window distance; reference set is capped for runtime; threshold calibrated on validation-normal windows.
7,11_forecasting_residual_naive,Naive lag-one forecasting residual baseline,forecasting_residual_naive,raw_lag_one_residual,manifest_train_validation_test_no_point_adjustment,completed,validation_normal_quantile,validation_normal_windows,fit lag-one residual scale on manifest train windows with anomaly label 0 only,,0.10186092066601372,0.44308429246224473,0.4512806613362244,0.4351803450078411,0.38462999905006173,0.4939655554147746,0.5438014083318772,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/11_forecasting_residual_naive,Naive yhat_t=y_(t-1) residual score; residual scale fit on train-normal windows; threshold calibrated on validation-normal windows.
8,04_lstm_ae,LSTM-AE threshold baseline,lstm_ae,raw,manifest_train_validation_test_no_point_adjustment,completed,,,,,0.20395701025891552,0.26039092338800274,0.9272,0.1514636696288552,0.00864443811152275,0.6437339428318413,0.6944389966586306,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/04_lstm_ae,
9,05_lstm_ae_dbscan_threshold,LSTM-AE DBSCAN threshold candidate,lstm_ae_dbscan_threshold,raw,manifest_train_validation_test_no_point_adjustment,completed,,,,,0.0738281768689417,0.22500579911853397,1.0,0.12676424464192368,0.0,0.6437339428318413,0.6944389966586306,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/05_lstm_ae_dbscan_threshold,DBSCAN threshold calibrated from validation scores only; fallback is marked in metadata.
10,09_oneclass_svm_spectral,One-Class SVM spectral baseline,oneclass_svm,spectral,manifest_train_validation_test_no_point_adjustment,completed,validation_normal_quantile,validation_normal_windows,fit One-Class SVM on manifest train windows with anomaly label 0 only,,0.0,0.0,0.0,0.0,0.0,0.5336668314160414,0.6593122985819304,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/09_oneclass_svm_spectral,Normal-only train; score=-decision_function; threshold calibrated on validation-normal windows; held-out test metrics only.
,07_lightgbm,LightGBM supervised upper bound,lightgbm,enriched,manifest_train_validation_test_no_point_adjustment,skipped,,,,,,,,,,,,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/07_lightgbm,"training split must contain both binary classes, got [0]; supervised models require labels in manifest train split"
,06_xgboost,XGBoost supervised upper bound,xgboost,enriched,manifest_train_validation_test_no_point_adjustment,skipped,,,,,,,,,,,,/home/reky/college/el-industry/pdam-pump-sentinel/artifacts/skab-model-experiments/06_xgboost,"training split must contain both binary classes, got [0]; supervised models require labels in manifest train split"
